,layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l4,exc,exc,12.54,100.0,gaussian,100,static_ExcToExc.json
1,l4,exc,pvalb,51.77,53.22,exponential,100,static_ExcToExc.json
2,l4,exc,sst,7.13,40.56,gaussian,100,static_ExcToInh.json
3,l4,exc,vip,23.97,10.0,gaussian,100,static_ExcToInh.json
4,l4,pvalb,exc,66.8,72.32,exponential,100,static_ExcToInh.json
5,l4,pvalb,pvalb,60.24,92.09,gaussian,100,static_InhToInh.json
6,l4,pvalb,sst,100.0,10.0,gaussian,100,static_InhToInh.json
7,l4,pvalb,vip,19.29,27.47,gaussian,100,static_InhToInh.json
8,l4,sst,exc,59.0,40.23,exponential,100,static_InhToInh.json
9,l4,sst,pvalb,54.43,100.0,exponential,100,static_InhToInh.json
10,l4,sst,sst,1.53,83.6,gaussian,100,static_InhToInh.json
11,l4,sst,vip,38.68,63.67,gaussian,100,static_InhToInh.json
12,l4,vip,exc,0.1,10.0,exponential,100,static_InhToInh.json
13,l4,vip,pvalb,3.61,45.22,gaussian,100,static_InhToInh.json
14,l4,vip,sst,24.53,100.0,exponential,100,static_InhToInh.json
15,l4,vip,vip,3.53,100.0,gaussian,100,static_InhToInh.json
16,l4,htr3a,exc,35.1,85.0,billeh,100,static_InhToExc.json
17,l4,htr3a,pvalb,2.0,120.0,billeh,100,static_InhToInh.json
18,l4,htr3a,sst,62.5,120.0,billeh,100,static_InhToInh.json
19,l4,htr3a,vip,2.8,120.0,billeh,100,static_InhToInh.json
20,l4,htr3a,htr3a,2.8,120.0,billeh,100,static_InhToInh.json
21,l4,exc,htr3a,57.1,103.0,billeh,100,static_ExcToInh.json
22,l4,pvalb,htr3a,22.0,120.0,billeh,100,static_InhToInh.json
23,l4,sst,htr3a,77.0,120.0,billeh,100,static_InhToInh.json
24,l4,vip,htr3a,2.8,120.0,billeh,100,static_InhToInh.json
