,pre_layer,post_layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l23,l4,exc,exc,1.6,114,billeh,10,static_ExcToExc.json
1,l23,l4,exc,pv,8.3,92,billeh,10,static_ExcToInh.json
2,l23,l4,exc,sst,8.3,103,billeh,10,static_ExcToInh.json
3,l23,l4,exc,htr3a,8.3,103,billeh,10,static_ExcToInh.json
4,l23,l4,exc,vip,8.3,103,billeh,10,static_ExcToInh.json
5,l23,l5,exc,cf,8.3,114,billeh,10,static_ExcToExc.json
6,l23,l5,exc,it,8.3,114,billeh,10,static_ExcToExc.json
7,l23,l5,exc,pv,8.1,92,billeh,10,static_ExcToInh.json
8,l23,l5,exc,sst,10.2,103,billeh,10,static_ExcToInh.json
9,l23,l1,pv,htr3a,2.4,120,billeh,10,static_InhToInh.json
10,l23,l4,pv,exc,5.0,95,billeh,10,static_InhToExc.json
11,l23,l4,pv,pv,5.0,120,billeh,10,static_InhToInh.json
12,l23,l4,pv,sst,5.0,120,billeh,10,static_InhToInh.json
13,l23,l4,pv,htr3a,5.0,120,billeh,10,static_InhToInh.json
14,l23,l4,pv,vip,5.0,120,billeh,10,static_InhToInh.json
15,l23,l5,pv,cf,7.0,95,billeh,10,static_InhToExc.json
16,l23,l5,pv,it,7.0,95,billeh,10,static_InhToExc.json
17,l23,l5,pv,pv,7.3,120,billeh,10,static_InhToInh.json
18,l23,l1,sst,htr3a,27.9,120,billeh,10,static_InhToInh.json
19,l23,l4,sst,exc,5.0,85,billeh,10,static_InhToExc.json
20,l23,l4,sst,pv,5.0,120,billeh,10,static_InhToInh.json
21,l23,l4,sst,sst,5.0,120,billeh,10,static_InhToInh.json
22,l23,l4,sst,htr3a,5.0,120,billeh,10,static_InhToInh.json
23,l23,l4,sst,vip,5.0,120,billeh,10,static_InhToInh.json
24,l23,l5,sst,cf,2.1,85,billeh,10,static_InhToExc.json
25,l23,l5,sst,it,2.1,85,billeh,10,static_InhToExc.json
26,l23,l4,htr3a,exc,5.0,85,billeh,10,static_InhToExc.json
27,l23,l4,htr3a,pv,5.0,120,billeh,10,static_InhToInh.json
28,l23,l4,htr3a,sst,5.0,120,billeh,10,static_InhToInh.json
29,l23,l4,htr3a,htr3a,5.0,120,billeh,10,static_InhToInh.json
30,l23,l4,htr3a,vip,5.0,120,billeh,10,static_InhToInh.json
31,l23,l4,vip,exc,5.0,85,billeh,10,static_InhToExc.json
32,l23,l4,vip,pv,5.0,120,billeh,10,static_InhToInh.json
33,l23,l4,vip,sst,5.0,120,billeh,10,static_InhToInh.json
34,l23,l4,vip,htr3a,5.0,120,billeh,10,static_InhToInh.json
35,l23,l4,vip,vip,5.0,120,billeh,10,static_InhToInh.json
