,Fit,A,mu,sigma,gamma,RMSE,Nb_obs,Feature,Layer_second,Bin_width,Population_used,Population
39,Skewed Gaussian,98.33557700407772,7.6322971329118925,3.1175251180676113,2.605606254249623,0.8803075415229697,53,Time_constant_ms,1,1.71,Per_layer,Inhibitory
40,LogNormal,853.7715305707356,2.0207188767678104,0.6638723970365994,,3.0219144485337677,131,Adaptation_index,4,6.51,Per_layer,Inhibitory
41,LogNormal,1963.2992712559185,1.8081638811703251,0.5531185428403396,,4.181657162496292,263,Adaptation_index,5,6.51,Per_layer,Inhibitory
42,LogNormal,1539.5568680866877,1.874784521674979,0.5907668409128308,,2.4969827770566058,204,Adaptation_index,2/3,6.51,Per_layer,Inhibitory
43,LogNormal,840.6065669594944,1.8002993077361749,0.5164216980958408,,2.2935756306981525,120,Adaptation_index,6,6.51,Per_layer,Inhibitory
44,LogNormal,221.3152182145473,2.333035437302687,0.8314739060944042,,1.112553177194582,37,Adaptation_index,1,6.51,Per_layer,Inhibitory
45,Skewed Gaussian,80.97875921639134,0.3277112234349202,1.1325094718077051,93934.62828672698,3.06176793272111,201,Gain,4,0.44,All_layer,Fast-Spiking
46,Skewed Gaussian,80.97875921639134,0.3277112234349202,1.1325094718077051,93934.62828672698,3.06176793272111,201,Gain,5,0.44,All_layer,Fast-Spiking
47,Skewed Gaussian,80.97875921639134,0.3277112234349202,1.1325094718077051,93934.62828672698,3.06176793272111,201,Gain,6,0.44,All_layer,Fast-Spiking
48,Skewed Gaussian,80.97875921639134,0.3277112234349202,1.1325094718077051,93934.62828672698,3.06176793272111,201,Gain,2/3,0.44,All_layer,Fast-Spiking
49,Skewed Gaussian,18634.623380237965,168.68795647120174,167.55477570304166,0.3671018362357583,9.341204271871137,201,Threshold,4,79.09,All_layer,Fast-Spiking
50,Skewed Gaussian,18634.623380237965,168.68795647120174,167.55477570304166,0.3671018362357583,9.341204271871137,201,Threshold,5,79.09,All_layer,Fast-Spiking
