,Fit,A,mu,sigma,gamma,RMSE,Nb_obs,Feature,Layer_second,Bin_width,Population_used,Population
88,LogNormal,124.35753069885844,1.3645514133014516,0.4360160515497868,,0.9893260429278332,76,Adaptation_index,6,1.74,Per_layer,Non Fast-Spiking
89,LogNormal,52.56619279736015,2.122949196553552,0.9965898537873832,,1.3281689284654683,37,Adaptation_index,1,1.74,Per_layer,Non Fast-Spiking
90,Skewed Gaussian,15.489229479639553,0.1176355115076457,0.2936303767882106,114178.6240610526,2.4051016606370115,133,Gain,2/3,0.13,All_layer,Htr3a
91,Skewed Gaussian,15.489229479639553,0.1176355115076457,0.2936303767882106,114178.6240610526,2.4051016606370115,133,Gain,5,0.13,All_layer,Htr3a
92,Skewed Gaussian,15.489229479639553,0.1176355115076457,0.2936303767882106,114178.6240610526,2.4051016606370115,133,Gain,4,0.13,All_layer,Htr3a
93,Skewed Gaussian,15.489229479639553,0.1176355115076457,0.2936303767882106,114178.6240610526,2.4051016606370115,133,Gain,1,0.13,All_layer,Htr3a
94,Skewed Gaussian,15.489229479639553,0.1176355115076457,0.2936303767882106,114178.6240610526,2.4051016606370115,133,Gain,6,0.13,All_layer,Htr3a
95,LogNormal,7451.243271914499,5.0824810050387415,0.5209200471913319,,1.3592253891874035,133,Threshold,2/3,46.97,All_layer,Htr3a
96,LogNormal,7451.243271914499,5.0824810050387415,0.5209200471913319,,1.3592253891874035,133,Threshold,5,46.97,All_layer,Htr3a
97,LogNormal,7451.243271914499,5.0824810050387415,0.5209200471913319,,1.3592253891874035,133,Threshold,4,46.97,All_layer,Htr3a
98,LogNormal,7451.243271914499,5.0824810050387415,0.5209200471913319,,1.3592253891874035,133,Threshold,1,46.97,All_layer,Htr3a
99,LogNormal,7451.243271914499,5.0824810050387415,0.5209200471913319,,1.3592253891874035,133,Threshold,6,46.97,All_layer,Htr3a
100,Skewed Gaussian,3.984361714080569,0.0706043680965453,0.1457091446166181,8.062824211139507,0.5588606633269078,69,Input_Resistance_GOhms,2/3,0.05,Per_layer,Htr3a
101,LogNormal,2.4661308586960233,-1.464633995657877,0.638695264474918,,0.9593424216268096,42,Input_Resistance_GOhms,5,0.05,Per_layer,Htr3a
102,Skewed Gaussian,1.557139168007933,0.1276053269519737,0.2165392336602056,4.4940271644637715,1.734287864779532,22,Input_Resistance_GOhms,4,0.05,Per_layer,Htr3a
103,Skewed Gaussian,0.3921270366668923,0.0870670560245759,0.1521981025171608,52321.40734130672,0.2152066927585942,5,Input_Resistance_GOhms,1,0.05,Per_layer,Htr3a
104,Skewed Gaussian,0.7044692566355243,0.2955129359650842,0.1295209581156334,-3.0200489523702188,0.7266517981969103,11,Input_Resistance_GOhms,6,0.05,Per_layer,Htr3a
105,LogNormal,214.37298693446488,2.2626016051636704,0.2575446717290617,,0.8164994816827622,69,Time_constant_ms,2/3,2.52,Per_layer,Htr3a
106,Skewed Gaussian,83.01933574135856,6.379437239869636,3.611559184504515,70965.4821018083,2.297692159901626,42,Time_constant_ms,5,2.52,Per_layer,Htr3a
107,Skewed Gaussian,48.777182329390385,16.741162694659227,4.094197484154981,-1.9155627401911228,1.1103209988528755,22,Time_constant_ms,4,2.52,Per_layer,Htr3a
108,Skewed Gaussian,32.815441175732296,7.18240633992191,14.2438517859993,16.929187707812094,0.5219603134777596,11,Time_constant_ms,6,2.52,Per_layer,Htr3a
109,LogNormal,275.1973982427477,1.660371640813265,0.4851030894722368,,1.599154409855018,132,Adaptation_index,2/3,2.28,All_layer,Htr3a
110,LogNormal,275.1973982427477,1.660371640813265,0.4851030894722368,,1.599154409855018,132,Adaptation_index,5,2.28,All_layer,Htr3a
