,pre_layer,post_layer,pre,post,pmax,sigma,rule,weight,synaptic_type
34,l5,l4,pv,sst,3.0,120,billeh,10,static_InhToInh.json
35,l5,l4,pv,vip,3.0,120,billeh,10,static_InhToInh.json
36,l5,l4,pv,htr3a,3.0,120,billeh,10,static_InhToInh.json
37,l5,l6,pv,exc,3.0,95,billeh,10,static_InhToExc.json
38,l5,l6,pv,pv,1.0,120,billeh,10,static_InhToInh.json
39,l5,l6,pv,vip,1.0,120,billeh,10,static_InhToInh.json
40,l5,l6,pv,sst,1.0,120,billeh,10,static_InhToInh.json
41,l5,l6,pv,htr3a,1.0,120,billeh,10,static_InhToInh.json
42,l5,l1,sst,htr3a,20.3,120,billeh,10,static_InhToInh.json
43,l5,l23,sst,exc,16.9,85,billeh,10,static_InhToExc.json
44,l5,l23,sst,sst,1.7,120,billeh,10,static_InhToInh.json
45,l5,l4,sst,exc,5.6,85,billeh,10,static_InhToExc.json
46,l5,l4,sst,pv,3.0,120,billeh,10,static_InhToInh.json
47,l5,l4,sst,sst,0.6,120,billeh,10,static_InhToInh.json
48,l5,l4,sst,vip,3.0,120,billeh,10,static_InhToInh.json
49,l5,l4,sst,htr3a,3.0,120,billeh,10,static_InhToInh.json
50,l5,l6,sst,exc,3.0,85,billeh,10,static_InhToExc.json
51,l5,l6,sst,pv,1.0,120,billeh,10,static_InhToInh.json
52,l5,l6,sst,vip,1.0,120,billeh,10,static_InhToInh.json
53,l5,l6,sst,sst,1.0,120,billeh,10,static_InhToInh.json
54,l5,l6,sst,htr3a,1.0,120,billeh,10,static_InhToInh.json
55,l5,l4,htr3a,exc,3.0,85,billeh,10,static_InhToExc.json
56,l5,l4,htr3a,pv,3.0,120,billeh,10,static_InhToInh.json
57,l5,l4,htr3a,sst,3.0,120,billeh,10,static_InhToInh.json
58,l5,l4,htr3a,vip,3.0,120,billeh,10,static_InhToInh.json
59,l5,l4,htr3a,htr3a,3.0,120,billeh,10,static_InhToInh.json
60,l5,l6,htr3a,exc,3.0,85,billeh,10,static_InhToExc.json
61,l5,l6,htr3a,pv,1.0,120,billeh,10,static_InhToInh.json
62,l5,l6,htr3a,vip,1.0,120,billeh,10,static_InhToInh.json
63,l5,l6,htr3a,sst,1.0,120,billeh,10,static_InhToInh.json
64,l5,l6,htr3a,htr3a,1.0,120,billeh,10,static_InhToInh.json
65,l5,l4,vip,exc,3.0,85,billeh,10,static_InhToExc.json
66,l5,l4,vip,pv,3.0,120,billeh,10,static_InhToInh.json
67,l5,l4,vip,sst,3.0,120,billeh,10,static_InhToInh.json
68,l5,l4,vip,vip,3.0,120,billeh,10,static_InhToInh.json
69,l5,l4,vip,htr3a,3.0,120,billeh,10,static_InhToInh.json
70,l5,l6,vip,exc,3.0,85,billeh,10,static_InhToExc.json
71,l5,l6,vip,pv,1.0,120,billeh,10,static_InhToInh.json
72,l5,l6,vip,vip,1.0,120,billeh,10,static_InhToInh.json
73,l5,l6,vip,sst,1.0,120,billeh,10,static_InhToInh.json
74,l5,l6,vip,htr3a,1.0,120,billeh,10,static_InhToInh.json
