,pre_layer,post_layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l5,l1,cf,htr3a,1.7,103,billeh,10,static_ExcToInh.json
1,l5,l23,cf,exc,2.1,114,billeh,10,static_ExcToExc.json
2,l5,l23,cf,pv,5.0,92,billeh,10,static_ExcToInh.json
3,l5,l23,cf,sst,5.0,103,billeh,10,static_ExcToInh.json
4,l5,l23,cf,htr3a,5.0,103,billeh,10,static_ExcToInh.json
5,l5,l23,cf,vip,5.0,103,billeh,10,static_ExcToInh.json
6,l5,l4,cf,exc,0.7,114,billeh,10,static_ExcToExc.json
7,l5,l4,cf,pv,5.0,92,billeh,10,static_ExcToInh.json
8,l5,l4,cf,sst,5.0,103,billeh,10,static_ExcToInh.json
9,l5,l4,cf,vip,5.0,103,billeh,10,static_ExcToInh.json
10,l5,l4,cf,htr3a,5.0,103,billeh,10,static_ExcToInh.json
11,l5,l6,cf,exc,4.7,114,billeh,10,static_ExcToExc.json
12,l5,l6,cf,pv,3.0,92,billeh,10,static_ExcToInh.json
13,l5,l6,cf,vip,3.0,103,billeh,10,static_ExcToInh.json
14,l5,l6,cf,sst,3.0,103,billeh,10,static_ExcToInh.json
15,l5,l6,cf,htr3a,3.0,103,billeh,10,static_ExcToInh.json
16,l5,l1,it,htr3a,1.7,103,billeh,10,static_ExcToInh.json
17,l5,l23,it,exc,2.1,114,billeh,10,static_ExcToExc.json
18,l5,l23,it,pv,5.0,92,billeh,10,static_ExcToInh.json
19,l5,l23,it,sst,5.0,103,billeh,10,static_ExcToInh.json
20,l5,l23,it,htr3a,5.0,103,billeh,10,static_ExcToInh.json
21,l5,l23,it,vip,5.0,103,billeh,10,static_ExcToInh.json
22,l5,l4,it,exc,0.7,114,billeh,10,static_ExcToExc.json
23,l5,l4,it,pv,5.0,92,billeh,10,static_ExcToInh.json
24,l5,l4,it,sst,5.0,103,billeh,10,static_ExcToInh.json
25,l5,l4,it,vip,5.0,103,billeh,10,static_ExcToInh.json
26,l5,l4,it,htr3a,5.0,103,billeh,10,static_ExcToInh.json
27,l5,l6,it,exc,4.7,114,billeh,10,static_ExcToExc.json
28,l5,l6,it,pv,3.0,92,billeh,10,static_ExcToInh.json
29,l5,l6,it,vip,3.0,103,billeh,10,static_ExcToInh.json
30,l5,l6,it,sst,3.0,103,billeh,10,static_ExcToInh.json
31,l5,l6,it,htr3a,3.0,103,billeh,10,static_ExcToInh.json
32,l5,l23,pv,pv,10.2,120,billeh,10,static_InhToInh.json
33,l5,l4,pv,pv,3.4,120,billeh,10,static_InhToInh.json
