,layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l5,cf,cf,9.87,100.0,gaussian,10,static_ExcToExc.json
1,l5,cf,it,0.1,10.0,exponential,10,static_ExcToExc.json
2,l5,cf,pvalb,10.36,95.35,gaussian,10,static_ExcToInh.json
3,l5,cf,sst,12.21,64.7,gaussian,10,static_ExcToInh.json
4,l5,cf,vip,0.1,10.0,exponential,10,static_ExcToInh.json
5,l5,it,cf,7.38,57.05,gaussian,10,static_ExcToExc.json
6,l5,it,it,3.39,96.93,gaussian,10,static_ExcToExc.json
7,l5,it,pvalb,13.45,100.0,gaussian,10,static_ExcToInh.json
8,l5,it,sst,14.03,95.32,gaussian,10,static_ExcToInh.json
9,l5,it,vip,4.0,100.0,gaussian,10,static_ExcToInh.json
10,l5,pvalb,cf,25.06,95.27,gaussian,10,static_InhToExc.json
11,l5,pvalb,it,24.04,71.76,gaussian,10,static_InhToExc.json
12,l5,pvalb,pvalb,27.9,100.0,gaussian,10,static_InhToInh.json
13,l5,pvalb,sst,6.64,100.0,gaussian,10,static_InhToInh.json
14,l5,pvalb,vip,4.48,100.0,exponential,10,static_InhToInh.json
15,l5,sst,cf,43.35,80.9,exponential,10,static_InhToExc.json
16,l5,sst,it,9.77,56.15,gaussian,10,static_InhToExc.json
17,l5,sst,pvalb,17.16,100.0,gaussian,10,static_InhToInh.json
18,l5,sst,sst,6.34,88.38,exponential,10,static_InhToInh.json
19,l5,sst,vip,17.26,100.0,exponential,10,static_InhToInh.json
20,l5,vip,cf,0.1,10.0,exponential,10,static_InhToExc.json
21,l5,vip,it,0.1,10.0,exponential,10,static_InhToExc.json
22,l5,vip,pvalb,8.35,10.0,gaussian,10,static_InhToInh.json
23,l5,vip,sst,12.1,100.0,exponential,10,static_InhToInh.json
24,l5,vip,vip,7.33,54.82,gaussian,10,static_InhToInh.json
25,l5,htr3a,cf,12.5,85.0,billeh,10,static_InhToExc.json
26,l5,htr3a,it,12.5,85.0,billeh,10,static_InhToExc.json
27,l5,htr3a,pvalb,2.0,120.0,billeh,10,static_InhToInh.json
28,l5,htr3a,sst,62.5,120.0,billeh,10,static_InhToInh.json
29,l5,htr3a,vip,2.0,120.0,billeh,10,static_InhToInh.json
30,l5,htr3a,htr3a,2.0,120.0,billeh,10,static_InhToInh.json
31,l5,cf,htr3a,10.5,103.0,billeh,10,static_ExcToInh.json
32,l5,it,htr3a,10.5,103.0,billeh,10,static_ExcToInh.json
33,l5,pvalb,htr3a,22.0,120.0,billeh,10,static_InhToInh.json
34,l5,sst,htr3a,77.0,120.0,billeh,10,static_InhToInh.json
35,l5,vip,htr3a,2.0,120.0,billeh,10,static_InhToInh.json
