,pre_layer,post_layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l4,l23,exc,exc,14.0,114,billeh,10,static_ExcToExc.json
1,l4,l23,exc,pv,10.0,92,billeh,10,static_ExcToInh.json
2,l4,l23,exc,sst,10.0,103,billeh,10,static_ExcToInh.json
3,l4,l23,exc,htr3a,10.0,103,billeh,10,static_ExcToInh.json
4,l4,l23,exc,vip,10.0,103,billeh,10,static_ExcToInh.json
5,l4,l5,exc,cf,10.4,114,billeh,10,static_ExcToExc.json
6,l4,l5,exc,it,10.4,114,billeh,10,static_ExcToExc.json
7,l4,l5,exc,pv,10.1,92,billeh,10,static_ExcToInh.json
8,l4,l5,exc,sst,12.8,103,billeh,10,static_ExcToInh.json
9,l4,l5,exc,vip,5.0,103,billeh,10,static_ExcToInh.json
10,l4,l5,exc,htr3a,5.0,103,billeh,10,static_ExcToInh.json
11,l4,l6,exc,exc,3.2,114,billeh,10,static_ExcToExc.json
12,l4,l23,pv,exc,25.0,95,billeh,10,static_InhToExc.json
13,l4,l23,pv,pv,5.0,120,billeh,10,static_InhToInh.json
14,l4,l23,pv,sst,5.0,120,billeh,10,static_InhToInh.json
15,l4,l23,pv,htr3a,5.0,120,billeh,10,static_InhToInh.json
16,l4,l23,pv,vip,5.0,120,billeh,10,static_InhToInh.json
17,l4,l5,pv,cf,8.8,95,billeh,10,static_InhToExc.json
18,l4,l5,pv,it,8.8,95,billeh,10,static_InhToExc.json
19,l4,l5,pv,pv,9.1,120,billeh,10,static_InhToInh.json
20,l4,l5,pv,sst,3.0,120,billeh,10,static_InhToInh.json
21,l4,l5,pv,vip,3.0,120,billeh,10,static_InhToInh.json
22,l4,l5,pv,htr3a,3.0,120,billeh,10,static_InhToInh.json
23,l4,l1,sst,htr3a,24.1,120,billeh,10,static_InhToInh.json
24,l4,l23,sst,exc,25.0,85,billeh,10,static_InhToExc.json
25,l4,l23,sst,pv,5.0,120,billeh,10,static_InhToInh.json
26,l4,l23,sst,sst,5.0,120,billeh,10,static_InhToInh.json
27,l4,l23,sst,htr3a,5.0,120,billeh,10,static_InhToInh.json
28,l4,l23,sst,vip,5.0,120,billeh,10,static_InhToInh.json
29,l4,l5,sst,cf,2.6,85,billeh,10,static_InhToExc.json
30,l4,l5,sst,it,2.6,85,billeh,10,static_InhToExc.json
31,l4,l5,sst,pv,3.0,120,billeh,10,static_InhToInh.json
32,l4,l5,sst,vip,3.0,120,billeh,10,static_InhToInh.json
33,l4,l5,sst,htr3a,3.0,120,billeh,10,static_InhToInh.json
34,l4,l23,htr3a,exc,25.0,85,billeh,10,static_InhToExc.json
35,l4,l23,htr3a,pv,5.0,120,billeh,10,static_InhToInh.json
36,l4,l23,htr3a,sst,5.0,120,billeh,10,static_InhToInh.json
37,l4,l23,htr3a,htr3a,5.0,120,billeh,10,static_InhToInh.json
38,l4,l23,htr3a,vip,5.0,120,billeh,10,static_InhToInh.json
39,l4,l5,htr3a,pv,3.0,120,billeh,10,static_InhToInh.json
40,l4,l5,htr3a,sst,3.0,120,billeh,10,static_InhToInh.json
41,l4,l5,htr3a,vip,3.0,120,billeh,10,static_InhToInh.json
42,l4,l5,htr3a,htr3a,3.0,120,billeh,10,static_InhToInh.json
43,l4,l23,vip,exc,25.0,85,billeh,10,static_InhToExc.json
44,l4,l23,vip,pv,5.0,120,billeh,10,static_InhToInh.json
45,l4,l23,vip,sst,5.0,120,billeh,10,static_InhToInh.json
46,l4,l23,vip,htr3a,5.0,120,billeh,10,static_InhToInh.json
47,l4,l23,vip,vip,5.0,120,billeh,10,static_InhToInh.json
48,l4,l5,vip,pv,3.0,120,billeh,10,static_InhToInh.json
49,l4,l5,vip,sst,3.0,120,billeh,10,static_InhToInh.json
50,l4,l5,vip,vip,3.0,120,billeh,10,static_InhToInh.json
51,l4,l5,vip,htr3a,3.0,120,billeh,10,static_InhToInh.json
