,Cell_id,Model_id,Time_constant_ms,Input_Resistance_GOhms,Holding_potential_mV_model,Steady_state_potential_mV_model,Resting_potential_mV_model,Adaptation_index,Gain,Threshold,Saturation_frequency_Hz_model,Saturation_stimulus_pA_model,file_name
162,489259263,491523191,20.349938784221443,0.2837413717487004,-80.823,-80.84356935799936,-80.80243064200063,2.407482646102678,0.3605860326370159,105.76242732502996,,,Cell_489259263_model_491523191_config.json
163,476562817,566312415,14.789933288501643,0.1596997762076055,-74.35699999999999,-75.96485736822157,-72.74914263177844,0.0881759233660721,,,,,Cell_476562817_model_566312415_config.json
164,483057325,485510646,9.564131979977544,0.1462846871917021,-72.618,-79.94013579921979,-65.2958642007802,1.1427671673199122,,,,,Cell_483057325_model_485510646_config.json
165,314617802,566281992,54.706161296913805,0.4514240666730827,-69.23825,-82.84125126672252,-55.63524873327747,1.7037308134096376,0.2449886362424168,56.022874750476454,,,Cell_314617802_model_566281992_config.json
166,475751758,566308384,36.63755807582272,0.3071958652574204,-76.18281818181818,-79.2755155814939,-73.09012078214246,2.2147314209802236,0.1929428369483212,93.04798666052476,,,Cell_475751758_model_566308384_config.json
167,328093618,496416839,18.684146405624745,0.178676939079914,-65.048,-27.23046698244605,-102.86553301755394,1819735.39324716,,,,,Cell_328093618_model_496416839_config.json
168,566475818,568453159,48.79123949029656,0.4873460213915402,-76.0461,-85.82264714582308,-66.26955285417691,5.994083079133847,0.5017111811403997,77.21080065324911,,,Cell_566475818_model_568453159_config.json
169,490558274,491761515,14.52421075298305,0.0888870164302602,-78.232,-79.12646086482368,-77.33753913517631,1.2476053739005528,0.2788781890426528,343.2265701782577,,,Cell_490558274_model_491761515_config.json
170,596808442,599372282,12.32004623347511,0.2572641764014985,-62.344,-66.86253359571913,-57.825466404280874,1.4346818468838651,,,,,Cell_596808442_model_599372282_config.json
171,593398067,597334313,32.85258669816714,0.67537830261341,-63.987142857142864,-97.79321576152007,-30.18106995276563,5.3927854263844575,0.5773882024591167,23.740288082131965,,,Cell_593398067_model_597334313_config.json
172,603502705,605234837,17.22258879402684,0.3494930277942518,-65.023,-75.52899685200363,-54.517003147996355,5.86017894401765,0.7784288166359651,49.11900011606542,,,Cell_603502705_model_605234837_config.json
173,628700262,637930673,29.199838595549146,0.3400466156212677,-71.4,-79.6796931696397,-63.12030683036031,1.614337688683511,0.3306562471139958,54.66210093637099,,,Cell_628700262_model_637930673_config.json
174,479298854,491767156,5.467778846610219,0.0716219963749759,-77.851,-95.039982852205,-60.66201714779502,7.341808529783313,0.5161636336068934,354.3152965806347,,,Cell_479298854_model_491767156_config.json
175,476686112,566316602,23.858719460423675,0.2963721865139,-65.079,-62.9835872511112,-67.17441274888877,33.93573563393992,0.6839011250655099,90.15757279520012,,,Cell_476686112_model_566316602_config.json
176,471819401,566303332,16.98789135510701,0.1699412721728011,-77.505,-72.42064594646081,-82.58935405353918,1.947951892575701,0.2501969454451612,193.36988911156,,,Cell_471819401_model_566303332_config.json
177,555089724,557414710,19.326455316352984,0.3810067550910873,-73.285,-74.07372981069895,-72.49627018930104,2.1519947134474835,0.2763534606495587,65.77038755032383,,,Cell_555089724_model_557414710_config.json
178,522152249,523495915,15.519660409285729,0.1648503285670831,-77.76,-75.22492990797788,-80.29507009202212,0.8882738819832152,0.1679640737212668,238.84241305537267,,,Cell_522152249_model_523495915_config.json
179,490612844,491629509,13.854693613308932,0.1313482667679051,-75.369,-78.00461056252388,-72.73338943747612,0.9356939273941411,0.3746700829796366,212.10672037302783,,,Cell_490612844_model_491629509_config.json
180,589442285,592409155,26.50207414268617,0.1879694062774069,-66.937,-68.82968036528997,-65.04431963471002,2.867564022936374,0.2688804713824272,83.01924596538994,,,Cell_589442285_model_592409155_config.json
181,485608017,486052027,,,,,,,,,,,Cell_485608017_model_486052027_config.json
182,320639930,566282593,,,,,,,,,,,Cell_320639930_model_566282593_config.json
183,480952106,491766458,6.404234320754034,0.1476693431562601,-72.315,-106.27880463873308,-38.35119536126692,8.261733068424947,,,,,Cell_480952106_model_491766458_config.json
184,571295641,573429631,24.105898829190664,0.2306728068079586,-73.051,-70.76154086892359,-75.34045913107641,1.295816528903075,0.2304890686774396,133.43960344515466,,,Cell_571295641_model_573429631_config.json
185,569810649,571019402,28.189162977883143,0.3660455415253532,-63.737,-73.82085694249082,-53.6531430575092,2.700770807770769,0.4083140409000804,49.57480039269612,,,Cell_569810649_model_571019402_config.json
186,327962063,566285504,25.001009276269304,0.5525792468191796,-73.52,-93.3032114314714,-53.736788568528596,7.900365507315142,0.5223148059549195,39.898501288229745,,,Cell_327962063_model_566285504_config.json
187,477991293,489916979,7.813467245513323,0.140557429068077,-71.708,-79.68051862496714,-63.73548137503286,1.6249512797950794,0.393832130978292,198.2917116467448,,,Cell_477991293_model_489916979_config.json
188,329550277,496416879,13.946885906239084,0.1544763731906959,-82.25600000000001,-85.35953327089086,-79.15246672910914,812181.1301341432,,,,,Cell_329550277_model_496416879_config.json
189,487664663,488462804,38.68656493406444,0.315167718419885,-68.57957142857143,-72.65291420424771,-64.50622865289515,2.08009787068693,0.1983009592576404,58.7606129836007,,,Cell_487664663_model_488462804_config.json
190,469800845,566300439,36.33783040310365,0.2463597840332567,-73.96063636363637,-75.99320163860486,-71.92807108866788,0.5288467818876701,,,,,Cell_469800845_model_566300439_config.json
191,473642382,566304883,,,,,,,,,,,Cell_473642382_model_566304883_config.json
192,576336240,587847691,20.367670665622697,0.4637004873852438,-72.342,-90.91676780883448,-53.7672321911655,2.789125473878004,0.5861441025971612,39.8116025502528,,,Cell_576336240_model_587847691_config.json
193,580149939,591248100,42.763559782384355,0.3690008448659324,-65.563625,-78.500464631621,-52.626785368379,1.806671849283072,0.1979244564789327,47.43887895277966,,,Cell_580149939_model_591248100_config.json
194,322229594,566283010,25.42013016510602,0.3039972048892556,-65.266,-70.0716729927293,-60.46032700727071,0.6337480167088747,0.546503354157451,84.45636632445752,,,Cell_322229594_model_566283010_config.json
195,589764355,592922292,54.692629802301646,0.3758234685438557,-69.80975000000001,-78.28688472602735,-61.33261527397265,2.509471804044167,0.1847904163432756,47.30130962737132,,,Cell_589764355_model_592922292_config.json
