edge_type_id target_query source_query syn_weight dynamics_params delay model_template
162 pop_name=='PV2' pop_name=='exc7' 10 static_ExcToInh.json 2.589229143416225 static_synapse
163 pop_name=='SST1' pop_name=='exc1' 10 static_ExcToInh.json 2.4872923295115448 static_synapse
164 pop_name=='SST2' pop_name=='exc1' 10 static_ExcToInh.json 1.5994645936667382 static_synapse
165 pop_name=='SST3' pop_name=='exc1' 10 static_ExcToInh.json 2.1377899115727903 static_synapse
166 pop_name=='SST1' pop_name=='exc2' 10 static_ExcToInh.json 1.291742243040542 static_synapse
167 pop_name=='SST2' pop_name=='exc2' 10 static_ExcToInh.json 2.0865422321683575 static_synapse
168 pop_name=='SST3' pop_name=='exc2' 10 static_ExcToInh.json 1.870467335770003 static_synapse
169 pop_name=='SST1' pop_name=='exc3' 10 static_ExcToInh.json 1.7253239565185594 static_synapse
170 pop_name=='SST2' pop_name=='exc3' 10 static_ExcToInh.json 2.1408039505985563 static_synapse
171 pop_name=='SST3' pop_name=='exc3' 10 static_ExcToInh.json 2.4869074102925763 static_synapse
172 pop_name=='SST1' pop_name=='exc4' 10 static_ExcToInh.json 1.0264867235006083 static_synapse
173 pop_name=='SST2' pop_name=='exc4' 10 static_ExcToInh.json 2.578492034478434 static_synapse
174 pop_name=='SST3' pop_name=='exc4' 10 static_ExcToInh.json 2.907411184441495 static_synapse
175 pop_name=='SST1' pop_name=='exc5' 10 static_ExcToInh.json 2.8175804452742863 static_synapse
176 pop_name=='SST2' pop_name=='exc5' 10 static_ExcToInh.json 1.6437671745969835 static_synapse
177 pop_name=='SST3' pop_name=='exc5' 10 static_ExcToInh.json 2.3065510710811274 static_synapse
178 pop_name=='SST1' pop_name=='exc6' 10 static_ExcToInh.json 1.9269951560737175 static_synapse
179 pop_name=='SST2' pop_name=='exc6' 10 static_ExcToInh.json 1.190848911251826 static_synapse
180 pop_name=='SST3' pop_name=='exc6' 10 static_ExcToInh.json 2.467972075524277 static_synapse
181 pop_name=='SST1' pop_name=='exc7' 10 static_ExcToInh.json 2.791630575078477 static_synapse
182 pop_name=='SST2' pop_name=='exc7' 10 static_ExcToInh.json 2.207698061190264 static_synapse
183 pop_name=='SST3' pop_name=='exc7' 10 static_ExcToInh.json 2.905765842905346 static_synapse
184 pop_name=='VIP1' pop_name=='exc1' 10 static_ExcToInh.json 2.4471698469856094 static_synapse
185 pop_name=='VIP2' pop_name=='exc1' 10 static_ExcToInh.json 2.0795226302302403 static_synapse
186 pop_name=='VIP3' pop_name=='exc1' 10 static_ExcToInh.json 2.787653753357539 static_synapse
187 pop_name=='VIP4' pop_name=='exc1' 10 static_ExcToInh.json 2.2170842865498335 static_synapse
188 pop_name=='VIP1' pop_name=='exc2' 10 static_ExcToInh.json 2.681562941545805 static_synapse
189 pop_name=='VIP2' pop_name=='exc2' 10 static_ExcToInh.json 1.9309857080622645 static_synapse
190 pop_name=='VIP3' pop_name=='exc2' 10 static_ExcToInh.json 2.7274605095228805 static_synapse
191 pop_name=='VIP4' pop_name=='exc2' 10 static_ExcToInh.json 2.1715299857915413 static_synapse
192 pop_name=='VIP1' pop_name=='exc3' 10 static_ExcToInh.json 1.9220094904743183 static_synapse
193 pop_name=='VIP2' pop_name=='exc3' 10 static_ExcToInh.json 1.7369228479208187 static_synapse
194 pop_name=='VIP3' pop_name=='exc3' 10 static_ExcToInh.json 2.8317128389865784 static_synapse
195 pop_name=='VIP4' pop_name=='exc3' 10 static_ExcToInh.json 1.561969871459594 static_synapse
196 pop_name=='VIP1' pop_name=='exc4' 10 static_ExcToInh.json 1.4568754318873762 static_synapse
197 pop_name=='VIP2' pop_name=='exc4' 10 static_ExcToInh.json 2.24390976297067 static_synapse
198 pop_name=='VIP3' pop_name=='exc4' 10 static_ExcToInh.json 2.6128382139301864 static_synapse
199 pop_name=='VIP4' pop_name=='exc4' 10 static_ExcToInh.json 1.4481533400379898 static_synapse
200 pop_name=='VIP1' pop_name=='exc5' 10 static_ExcToInh.json 2.9700581377039272 static_synapse
201 pop_name=='VIP2' pop_name=='exc5' 10 static_ExcToInh.json 1.4770458062360674 static_synapse
202 pop_name=='VIP3' pop_name=='exc5' 10 static_ExcToInh.json 2.307116058216112 static_synapse
203 pop_name=='VIP4' pop_name=='exc5' 10 static_ExcToInh.json 1.2219815298476455 static_synapse
204 pop_name=='VIP1' pop_name=='exc6' 10 static_ExcToInh.json 1.8607681279733348 static_synapse
205 pop_name=='VIP2' pop_name=='exc6' 10 static_ExcToInh.json 2.1335433544062608 static_synapse
206 pop_name=='VIP3' pop_name=='exc6' 10 static_ExcToInh.json 1.5545756521842382 static_synapse
207 pop_name=='VIP4' pop_name=='exc6' 10 static_ExcToInh.json 1.507812768503089 static_synapse
208 pop_name=='VIP1' pop_name=='exc7' 10 static_ExcToInh.json 2.2802837192802876 static_synapse
209 pop_name=='VIP2' pop_name=='exc7' 10 static_ExcToInh.json 2.3179578221729735 static_synapse
210 pop_name=='VIP3' pop_name=='exc7' 10 static_ExcToInh.json 2.8900310226993096 static_synapse
211 pop_name=='VIP4' pop_name=='exc7' 10 static_ExcToInh.json 1.9893927274206369 static_synapse
212 pop_name=='exc1' pop_name=='PV1' -10 static_InhToExc.json 2.9589302361963563 static_synapse
213 pop_name=='exc2' pop_name=='PV1' -10 static_InhToExc.json 2.939535364130756 static_synapse
214 pop_name=='exc3' pop_name=='PV1' -10 static_InhToExc.json 1.5303886785267982 static_synapse
215 pop_name=='exc4' pop_name=='PV1' -10 static_InhToExc.json 2.304206750915851 static_synapse
216 pop_name=='exc5' pop_name=='PV1' -10 static_InhToExc.json 1.2918913610924647 static_synapse
217 pop_name=='exc6' pop_name=='PV1' -10 static_InhToExc.json 2.304777682902907 static_synapse
218 pop_name=='exc7' pop_name=='PV1' -10 static_InhToExc.json 1.0759027677951503 static_synapse
219 pop_name=='exc1' pop_name=='PV2' -10 static_InhToExc.json 2.6101160565632524 static_synapse
220 pop_name=='exc2' pop_name=='PV2' -10 static_InhToExc.json 1.3399281991505663 static_synapse
221 pop_name=='exc3' pop_name=='PV2' -10 static_InhToExc.json 1.4575649253127358 static_synapse
222 pop_name=='exc4' pop_name=='PV2' -10 static_InhToExc.json 2.77328069070317 static_synapse
223 pop_name=='exc5' pop_name=='PV2' -10 static_InhToExc.json 2.7056017943606547 static_synapse
224 pop_name=='exc6' pop_name=='PV2' -10 static_InhToExc.json 1.1546123878760286 static_synapse
225 pop_name=='exc7' pop_name=='PV2' -10 static_InhToExc.json 2.7915177162443148 static_synapse
226 pop_name=='PV1' pop_name=='PV1' -10 static_InhToInh.json 1.808070503086588 static_synapse
227 pop_name=='PV2' pop_name=='PV1' -10 static_InhToInh.json 2.9279057916892093 static_synapse
228 pop_name=='PV1' pop_name=='PV2' -10 static_InhToInh.json 2.335155268502276 static_synapse
229 pop_name=='PV2' pop_name=='PV2' -10 static_InhToInh.json 2.7223528191652893 static_synapse
230 pop_name=='SST1' pop_name=='PV1' -10 static_InhToInh.json 2.5794586565133706 static_synapse
231 pop_name=='SST2' pop_name=='PV1' -10 static_InhToInh.json 2.322283364568896 static_synapse
232 pop_name=='SST3' pop_name=='PV1' -10 static_InhToInh.json 2.2238208984245276 static_synapse
233 pop_name=='SST1' pop_name=='PV2' -10 static_InhToInh.json 1.5263664390666982 static_synapse
234 pop_name=='SST2' pop_name=='PV2' -10 static_InhToInh.json 2.5988009939963557 static_synapse
235 pop_name=='SST3' pop_name=='PV2' -10 static_InhToInh.json 1.6117966130638994 static_synapse
236 pop_name=='VIP1' pop_name=='PV1' -10 static_InhToInh.json 1.1919567024289168 static_synapse
237 pop_name=='VIP2' pop_name=='PV1' -10 static_InhToInh.json 2.565215771932462 static_synapse
238 pop_name=='VIP3' pop_name=='PV1' -10 static_InhToInh.json 2.693442915135706 static_synapse
239 pop_name=='VIP4' pop_name=='PV1' -10 static_InhToInh.json 1.8828760193515874 static_synapse
240 pop_name=='VIP1' pop_name=='PV2' -10 static_InhToInh.json 2.6783191934892825 static_synapse
241 pop_name=='VIP2' pop_name=='PV2' -10 static_InhToInh.json 1.9316079907371408 static_synapse
242 pop_name=='VIP3' pop_name=='PV2' -10 static_InhToInh.json 1.9004119143779798 static_synapse
243 pop_name=='VIP4' pop_name=='PV2' -10 static_InhToInh.json 1.801437507587605 static_synapse
244 pop_name=='exc1' pop_name=='SST1' -10 static_InhToExc.json 2.0582296028889937 static_synapse
245 pop_name=='exc2' pop_name=='SST1' -10 static_InhToExc.json 1.5658958292794332 static_synapse
246 pop_name=='exc3' pop_name=='SST1' -10 static_InhToExc.json 1.8662604537611374 static_synapse
247 pop_name=='exc4' pop_name=='SST1' -10 static_InhToExc.json 1.5884140604259456 static_synapse
248 pop_name=='exc5' pop_name=='SST1' -10 static_InhToExc.json 1.222495882947127 static_synapse
249 pop_name=='exc6' pop_name=='SST1' -10 static_InhToExc.json 1.224900683030183 static_synapse
250 pop_name=='exc7' pop_name=='SST1' -10 static_InhToExc.json 2.458059155819301 static_synapse
251 pop_name=='exc1' pop_name=='SST2' -10 static_InhToExc.json 2.0960207528306336 static_synapse
252 pop_name=='exc2' pop_name=='SST2' -10 static_InhToExc.json 1.9378675624750312 static_synapse
253 pop_name=='exc3' pop_name=='SST2' -10 static_InhToExc.json 1.164024036881573 static_synapse
254 pop_name=='exc4' pop_name=='SST2' -10 static_InhToExc.json 2.4187758780439093 static_synapse
255 pop_name=='exc5' pop_name=='SST2' -10 static_InhToExc.json 1.0388995604977542 static_synapse
256 pop_name=='exc6' pop_name=='SST2' -10 static_InhToExc.json 1.7376130206566067 static_synapse
257 pop_name=='exc7' pop_name=='SST2' -10 static_InhToExc.json 1.3328523681000297 static_synapse
258 pop_name=='exc1' pop_name=='SST3' -10 static_InhToExc.json 2.215062946499652 static_synapse
259 pop_name=='exc2' pop_name=='SST3' -10 static_InhToExc.json 2.218296293316917 static_synapse
260 pop_name=='exc3' pop_name=='SST3' -10 static_InhToExc.json 2.97320124275498 static_synapse
261 pop_name=='exc4' pop_name=='SST3' -10 static_InhToExc.json 2.9232575282052085 static_synapse
262 pop_name=='exc5' pop_name=='SST3' -10 static_InhToExc.json 1.8411147656942417 static_synapse
263 pop_name=='exc6' pop_name=='SST3' -10 static_InhToExc.json 2.893129174056006 static_synapse
264 pop_name=='exc7' pop_name=='SST3' -10 static_InhToExc.json 1.1547258013266029 static_synapse
265 pop_name=='PV1' pop_name=='SST1' -10 static_InhToInh.json 2.45427921896223 static_synapse
